DEBUG:mnmf:Train label distribution : [[0 0 0 0 0]]
DEBUG:mnmf:Initializing factor matrices
DEBUG:mnmf:Initialization completed
DEBUG:mnmf:::: [ 61] fit: 7792167.23443 | delta: 3.5e-02 | secs: 0.02825
DEBUG:mnmf:::: [ 62] fit: 7527555.84108 | delta: 3.4e-02 | secs: 0.02269
DEBUG:mnmf:::: [ 63] fit: 7276996.28117 | delta: 3.3e-02 | secs: 0.02282
DEBUG:mnmf:::: [ 64] fit: 7039511.84855 | delta: 3.3e-02 | secs: 0.02304
DEBUG:mnmf:::: [ 65] fit: 6814192.24576 | delta: 3.2e-02 | secs: 0.02263
DEBUG:mnmf:::: [ 66] fit: 6600205.48272 | delta: 3.1e-02 | secs: 0.02258
DEBUG:mnmf:::: [ 67] fit: 6396794.13150 | delta: 3.1e-02 | secs: 0.02279
DEBUG:mnmf:::: [ 68] fit: 6203264.95146 | delta: 3.0e-02 | secs: 0.02260
DEBUG:mnmf:::: [ 69] fit: 6018976.88427 | delta: 3.0e-02 | secs: 0.02279
DEBUG:mnmf:::: [ 70] fit: 5843331.40100 | delta: 2.9e-02 | secs: 0.02257
DEBUG:mnmf:::: [ 71] fit: 5675771.55789 | delta: 2.9e-02 | secs: 0.02277
DEBUG:mnmf:::: [ 72] fit: 5515787.30366 | delta: 2.8e-02 | secs: 0.02263
DEBUG:mnmf:::: [ 73] fit: 5362916.43086 | delta: 2.8e-02 | secs: 0.02268
DEBUG:mnmf:::: [ 74] fit: 5216740.28518 | delta: 2.7e-02 | secs: 0.02279
DEBUG:mnmf:::: [ 75] fit: 5076879.24117 | delta: 2.7e-02 | secs: 0.02288
DEBUG:mnmf:::: [ 76] fit: 4942982.51349 | delta: 2.6e-02 | secs: 0.02310
DEBUG:mnmf:::: [ 77] fit: 4814708.74046 | delta: 2.6e-02 | secs: 0.02262
DEBUG:mnmf:::: [ 78] fit: 4691712.76098 | delta: 2.6e-02 | secs: 0.02295
DEBUG:mnmf:::: [ 79] fit: 4573654.69951 | delta: 2.5e-02 | secs: 0.02261
DEBUG:mnmf:::: [ 80] fit: 4460223.12596 | delta: 2.5e-02 | secs: 0.02278
DEBUG:mnmf:::: [ 81] fit: 4351150.27324 | delta: 2.4e-02 | secs: 0.02276
DEBUG:mnmf:::: [ 82] fit: 4246211.19168 | delta: 2.4e-02 | secs: 0.02274
DEBUG:mnmf:::: [ 83] fit: 4145215.95764 | delta: 2.4e-02 | secs: 0.02281
DEBUG:mnmf:::: [ 84] fit: 4048002.00391 | delta: 2.3e-02 | secs: 0.02274
DEBUG:mnmf:::: [ 85] fit: 3954422.69569 | delta: 2.3e-02 | secs: 0.02300
DEBUG:mnmf:::: [ 86] fit: 3864328.81282 | delta: 2.3e-02 | secs: 0.02274
DEBUG:mnmf:::: [ 87] fit: 3777549.54224 | delta: 2.2e-02 | secs: 0.02929
DEBUG:mnmf:::: [ 88] fit: 3693882.93336 | delta: 2.2e-02 | secs: 0.02275
DEBUG:mnmf:::: [ 89] fit: 3613100.78071 | delta: 2.2e-02 | secs: 0.02285
DEBUG:mnmf:::: [ 90] fit: 3534967.90879 | delta: 2.2e-02 | secs: 0.02293
DEBUG:mnmf:::: [ 91] fit: 3459269.55765 | delta: 2.1e-02 | secs: 0.02307
DEBUG:mnmf:::: [ 92] fit: 3385832.27900 | delta: 2.1e-02 | secs: 0.02276
DEBUG:mnmf:::: [ 93] fit: 3314525.48537 | delta: 2.1e-02 | secs: 0.02263
DEBUG:mnmf:::: [ 94] fit: 3245246.66900 | delta: 2.1e-02 | secs: 0.02322
DEBUG:mnmf:::: [ 95] fit: 3177905.82344 | delta: 2.1e-02 | secs: 0.02284
DEBUG:mnmf:::: [ 96] fit: 3112419.83295 | delta: 2.1e-02 | secs: 0.02275
DEBUG:mnmf:::: [ 97] fit: 3048714.81406 | delta: 2.0e-02 | secs: 0.02279
DEBUG:mnmf:::: [ 98] fit: 2986729.00236 | delta: 2.0e-02 | secs: 0.02262
DEBUG:mnmf:::: [ 99] fit: 2926412.54504 | delta: 2.0e-02 | secs: 0.02276
DEBUG:mnmf:::: [100] fit: 2867725.20122 | delta: 2.0e-02 | secs: 0.02275
DEBUG:mnmf:::: [101] fit: 2810633.63703 | delta: 2.0e-02 | secs: 0.02274
DEBUG:mnmf:::: [102] fit: 2755108.87674 | delta: 2.0e-02 | secs: 0.02520
DEBUG:mnmf:::: [103] fit: 2701123.86889 | delta: 2.0e-02 | secs: 0.02295
DEBUG:mnmf:::: [104] fit: 2648650.78849 | delta: 1.9e-02 | secs: 0.02309
DEBUG:mnmf:::: [105] fit: 2597657.66020 | delta: 1.9e-02 | secs: 0.02264
DEBUG:mnmf:::: [106] fit: 2548104.64592 | delta: 1.9e-02 | secs: 0.02275
DEBUG:mnmf:::: [107] fit: 2499941.66060 | delta: 1.9e-02 | secs: 0.02277
DEBUG:mnmf:::: [108] fit: 2453109.85418 | delta: 1.9e-02 | secs: 0.02310
DEBUG:mnmf:::: [109] fit: 2407548.28410 | delta: 1.9e-02 | secs: 0.02288
DEBUG:mnmf:::: [110] fit: 2363203.29457 | delta: 1.8e-02 | secs: 0.02301
DEBUG:mnmf:::: [111] fit: 2320034.93710 | delta: 1.8e-02 | secs: 0.02268
DEBUG:mnmf:::: [112] fit: 2278016.76332 | delta: 1.8e-02 | secs: 0.05438
DEBUG:mnmf:::: [113] fit: 2237131.18720 | delta: 1.8e-02 | secs: 0.02305
DEBUG:mnmf:::: [114] fit: 2197365.43286 | delta: 1.8e-02 | secs: 0.02286
DEBUG:mnmf:::: [115] fit: 2158710.32596 | delta: 1.8e-02 | secs: 0.02305
DEBUG:mnmf:::: [116] fit: 2121160.42054 | delta: 1.7e-02 | secs: 0.02298
DEBUG:mnmf:::: [117] fit: 2084712.86595 | delta: 1.7e-02 | secs: 0.02307
DEBUG:mnmf:::: [118] fit: 2049363.53078 | delta: 1.7e-02 | secs: 0.02311
DEBUG:mnmf:::: [119] fit: 2015100.55059 | delta: 1.7e-02 | secs: 0.02309
DEBUG:mnmf:::: [120] fit: 1981896.73697 | delta: 1.6e-02 | secs: 0.02313
DEBUG:mnmf:::: [121] fit: 1949703.44166 | delta: 1.6e-02 | secs: 0.02270
DEBUG:mnmf:::: [122] fit: 1918449.61992 | delta: 1.6e-02 | secs: 0.02277
DEBUG:mnmf:::: [123] fit: 1888049.18260 | delta: 1.6e-02 | secs: 0.02330
DEBUG:mnmf:::: [124] fit: 1858415.44922 | delta: 1.6e-02 | secs: 0.02265
DEBUG:mnmf:::: [125] fit: 1829475.85988 | delta: 1.6e-02 | secs: 0.02285
DEBUG:mnmf:::: [126] fit: 1801179.13671 | delta: 1.5e-02 | secs: 0.02262
DEBUG:mnmf:::: [127] fit: 1773493.12903 | delta: 1.5e-02 | secs: 0.02321
DEBUG:mnmf:::: [128] fit: 1746398.05607 | delta: 1.5e-02 | secs: 0.02278
DEBUG:mnmf:::: [129] fit: 1719880.04992 | delta: 1.5e-02 | secs: 0.02280
DEBUG:mnmf:::: [130] fit: 1693926.56381 | delta: 1.5e-02 | secs: 0.02264
DEBUG:mnmf:::: [131] fit: 1668523.69557 | delta: 1.5e-02 | secs: 0.02274
DEBUG:mnmf:::: [132] fit: 1643655.44100 | delta: 1.5e-02 | secs: 0.02294
DEBUG:mnmf:::: [133] fit: 1619304.48633 | delta: 1.5e-02 | secs: 0.02259
DEBUG:mnmf:::: [134] fit: 1595453.54130 | delta: 1.5e-02 | secs: 0.02283
DEBUG:mnmf:::: [135] fit: 1572086.13156 | delta: 1.5e-02 | secs: 0.02249
DEBUG:mnmf:::: [136] fit: 1549186.61615 | delta: 1.5e-02 | secs: 0.02281
DEBUG:mnmf:::: [137] fit: 1526740.22837 | delta: 1.4e-02 | secs: 0.02283
DEBUG:mnmf:::: [138] fit: 1504733.81453 | delta: 1.4e-02 | secs: 0.03220
DEBUG:mnmf:::: [139] fit: 1483156.85978 | delta: 1.4e-02 | secs: 0.02270
DEBUG:mnmf:::: [140] fit: 1462001.86101 | delta: 1.4e-02 | secs: 0.02297
DEBUG:mnmf:::: [141] fit: 1441263.67008 | delta: 1.4e-02 | secs: 0.02267
DEBUG:mnmf:::: [142] fit: 1420938.19712 | delta: 1.4e-02 | secs: 0.02251
DEBUG:mnmf:::: [143] fit: 1401020.97901 | delta: 1.4e-02 | secs: 0.02336
DEBUG:mnmf:::: [144] fit: 1381505.75665 | delta: 1.4e-02 | secs: 0.02297
DEBUG:mnmf:::: [145] fit: 1362383.13315 | delta: 1.4e-02 | secs: 0.02257
DEBUG:mnmf:::: [146] fit: 1343639.81635 | delta: 1.4e-02 | secs: 0.02310
DEBUG:mnmf:::: [147] fit: 1325259.29334 | delta: 1.4e-02 | secs: 0.02254
DEBUG:mnmf:::: [148] fit: 1307224.25886 | delta: 1.4e-02 | secs: 0.02260
DEBUG:mnmf:::: [149] fit: 1289519.69188 | delta: 1.4e-02 | secs: 0.02287
DEBUG:mnmf:::: [150] fit: 1272134.56761 | delta: 1.3e-02 | secs: 0.02273
DEBUG:mnmf:::: [151] fit: 1255061.26164 | delta: 1.3e-02 | secs: 0.02256
DEBUG:mnmf:::: [152] fit: 1238293.69102 | delta: 1.3e-02 | secs: 0.02298
DEBUG:mnmf:::: [153] fit: 1221825.77880 | delta: 1.3e-02 | secs: 0.02258
DEBUG:mnmf:::: [154] fit: 1205650.87657 | delta: 1.3e-02 | secs: 0.02266
DEBUG:mnmf:::: [155] fit: 1189762.00231 | delta: 1.3e-02 | secs: 0.02304
DEBUG:mnmf:::: [156] fit: 1174152.54226 | delta: 1.3e-02 | secs: 0.02276
DEBUG:mnmf:::: [157] fit: 1158816.93285 | delta: 1.3e-02 | secs: 0.02252
DEBUG:mnmf:::: [158] fit: 1143750.89614 | delta: 1.3e-02 | secs: 0.02275
DEBUG:mnmf:::: [159] fit: 1128951.22800 | delta: 1.3e-02 | secs: 0.02254
DEBUG:mnmf:::: [160] fit: 1114415.48802 | delta: 1.3e-02 | secs: 0.02264
DEBUG:mnmf:::: [161] fit: 1100141.84151 | delta: 1.3e-02 | secs: 0.02260
DEBUG:mnmf:::: [162] fit: 1086129.04029 | delta: 1.3e-02 | secs: 0.02271
DEBUG:mnmf:::: [163] fit: 1072376.44011 | delta: 1.3e-02 | secs: 0.02280
DEBUG:mnmf:::: [164] fit: 1058883.98760 | delta: 1.3e-02 | secs: 0.03011
DEBUG:mnmf:::: [165] fit: 1045652.13732 | delta: 1.2e-02 | secs: 0.02261
DEBUG:mnmf:::: [166] fit: 1032681.66867 | delta: 1.2e-02 | secs: 0.02423
DEBUG:mnmf:::: [167] fit: 1019973.39410 | delta: 1.2e-02 | secs: 0.02275
DEBUG:mnmf:::: [168] fit: 1007527.77997 | delta: 1.2e-02 | secs: 0.02255
DEBUG:mnmf:::: [169] fit: 995344.49385 | delta: 1.2e-02 | secs: 0.02270
DEBUG:mnmf:::: [170] fit: 983421.80450 | delta: 1.2e-02 | secs: 0.02263
DEBUG:mnmf:::: [171] fit: 971755.71405 | delta: 1.2e-02 | secs: 0.02260
DEBUG:mnmf:::: [172] fit: 960339.00644 | delta: 1.2e-02 | secs: 0.02253
DEBUG:mnmf:::: [173] fit: 949161.05030 | delta: 1.2e-02 | secs: 0.02271
DEBUG:mnmf:::: [174] fit: 938209.36715 | delta: 1.2e-02 | secs: 0.02262
DEBUG:mnmf:::: [175] fit: 927472.78884 | delta: 1.1e-02 | secs: 0.02281
DEBUG:mnmf:::: [176] fit: 916944.27558 | delta: 1.1e-02 | secs: 0.02278
DEBUG:mnmf:::: [177] fit: 906621.36213 | delta: 1.1e-02 | secs: 0.02245
DEBUG:mnmf:::: [178] fit: 896504.22634 | delta: 1.1e-02 | secs: 0.02280
DEBUG:mnmf:::: [179] fit: 886593.06139 | delta: 1.1e-02 | secs: 0.02264
DEBUG:mnmf:::: [180] fit: 876886.10657 | delta: 1.1e-02 | secs: 0.02243
DEBUG:mnmf:::: [181] fit: 867378.74294 | delta: 1.1e-02 | secs: 0.02259
DEBUG:mnmf:::: [182] fit: 858063.78645 | delta: 1.1e-02 | secs: 0.02409
DEBUG:mnmf:::: [183] fit: 848932.84399 | delta: 1.1e-02 | secs: 0.02267
DEBUG:mnmf:::: [184] fit: 839977.91514 | delta: 1.1e-02 | secs: 0.02261
DEBUG:mnmf:::: [185] fit: 831192.27228 | delta: 1.0e-02 | secs: 0.02312
DEBUG:mnmf:::: [186] fit: 822570.50562 | delta: 1.0e-02 | secs: 0.02261
DEBUG:mnmf:::: [187] fit: 814108.23817 | delta: 1.0e-02 | secs: 0.02417
DEBUG:mnmf:::: [188] fit: 805801.58252 | delta: 1.0e-02 | secs: 0.02268
DEBUG:mnmf:::: [189] fit: 797646.15712 | delta: 1.0e-02 | secs: 0.02845
DEBUG:mnmf:::: [190] fit: 789636.11161 | delta: 1.0e-02 | secs: 0.02388
DEBUG:mnmf:::: [191] fit: 781763.86714 | delta: 1.0e-02 | secs: 0.02275
DEBUG:mnmf:::: [192] fit: 774020.57993 | delta: 9.9e-03 | secs: 0.02263
DEBUG:mnmf:::: [193] fit: 766396.81774 | delta: 9.8e-03 | secs: 0.02270
DEBUG:mnmf:::: [194] fit: 758883.25558 | delta: 9.8e-03 | secs: 0.02248
DEBUG:mnmf:::: [195] fit: 751471.56099 | delta: 9.8e-03 | secs: 0.02260
DEBUG:mnmf:::: [196] fit: 744155.31176 | delta: 9.7e-03 | secs: 0.02248
DEBUG:mnmf:::: [197] fit: 736930.34309 | delta: 9.7e-03 | secs: 0.02286
DEBUG:mnmf:::: [198] fit: 729794.25881 | delta: 9.7e-03 | secs: 0.02256
DEBUG:mnmf:::: [199] fit: 722745.58985 | delta: 9.7e-03 | secs: 0.02297
DEBUG:mnmf:::: [200] fit: 715783.20097 | delta: 9.6e-03 | secs: 0.02265
DEBUG:mnmf:::: [201] fit: 708906.06345 | delta: 9.6e-03 | secs: 0.02252
DEBUG:mnmf:::: [202] fit: 702113.20981 | delta: 9.6e-03 | secs: 0.02256
DEBUG:mnmf:::: [203] fit: 695403.73380 | delta: 9.6e-03 | secs: 0.02258
DEBUG:mnmf:::: [204] fit: 688776.79671 | delta: 9.5e-03 | secs: 0.02277
DEBUG:mnmf:::: [205] fit: 682231.63481 | delta: 9.5e-03 | secs: 0.02295
DEBUG:mnmf:::: [206] fit: 675767.56693 | delta: 9.5e-03 | secs: 0.02272
DEBUG:mnmf:::: [207] fit: 669384.00042 | delta: 9.4e-03 | secs: 0.02256
DEBUG:mnmf:::: [208] fit: 663080.43225 | delta: 9.4e-03 | secs: 0.02256
DEBUG:mnmf:::: [209] fit: 656856.43982 | delta: 9.4e-03 | secs: 0.02260
DEBUG:mnmf:::: [210] fit: 650711.65246 | delta: 9.4e-03 | secs: 0.02289
